Stage,xtr.miR.22.3p,oan.miR.148.3p,ssc.miR.192,tch.miR.26a.5p,tch.miR.30a.5p,ccr.miR.143,oha.miR.125b.5p,ppa.miR.16,oan.miR.133a.3p,aca.miR.9.5p,hsa.miR.143.3p,eca.miR.126.5p,mmu.miR.27b.3p,hsa.miR.186.5p,cgr.miR.1260,gma.miR166a.3p,bta.miR.22.3p,bta.miR.30a.5p,eca.miR.423.5p,ssc.miR.21,ppy.miR.92,chi.miR.125b.5p,chi.miR.100.5p,bta.miR.191,chi.miR.22.3p,cfa.miR.125a,mne.miR.184,ssa.miR.30c.5p,ola.miR.192.5p,mdo.miR.26.5p,xtr.miR.10b,tgu.miR.142.5p,hsa.miR.151a.5p,hsa.miR.1246,mmu.miR.99b.5p,chi.miR.26b.5p,oar.miR.30a.5p,aca.let.7f.5p,cfa.miR.199,aca.miR.101.3p,cfa.miR.486,mdo.miR.186.5p,mdo.miR.22.3p,gga.miR.30a.5p,ggo.let.7f,gga.miR.194,cgr.miR.192,mml.miR.130a.3p,chi.miR.99a.5p,mmu.let.7i.5p,gga.miR.30c.5p,bta.miR.21.5p,ptr.miR.26b,oar.miR.21,chi.miR.21.5p,ggo.miR.148a,hsa.miR.25.3p,hsa.miR.141.3p,hme.miR.190,bta.miR.2904
Feeding 3rd Instar,44.11808419,15.71329026,7.554466472,3.323965247,4.532679883,3.323965247,0,0,2.115250612,0,0.604357318,0.906535977,0.906535977,0.604357318,0.302178659,0,0.604357318,0.906535977,0.906535977,0.302178659,1.208714635,0.302178659,1.510893294,0.604357318,3.323965247,0.302178659,1.208714635,0.604357318,0.302178659,0.302178659,0.302178659,0.302178659,0,0,0,0.302178659,0,0.604357318,0,0,0,0.604357318,0.302178659,0.604357318,0.302178659,0,0,0.604357318,0.302178659,0,0.302178659,0,0.302178659,0.302178659,0.302178659,0,0,0,0,0
Feeding 3rd Instar,67.28001167,18.65581444,5.358585,1.587728889,6.152449444,7.740178333,0,0.992330556,0.396932222,0.992330556,3.57239,1.389262778,2.381593333,0.396932222,0.595398333,0,1.786195,0.992330556,2.381593333,1.389262778,2.183127222,0,1.786195,0.595398333,1.190796667,1.190796667,0.793864444,0.793864444,0.198466111,0,1.587728889,0.396932222,0.396932222,0.198466111,0,0.198466111,0.396932222,0,0.396932222,0.595398333,0.793864444,0,0.396932222,0.595398333,0.396932222,0.198466111,0,0.198466111,0.595398333,0.396932222,0,0,0,0,0,0.198466111,0,0,0,0
Feeding 3rd Instar,65.20285983,32.81733342,5.181684225,2.159035094,7.772526337,7.340719318,0,0.863614037,0,0.431807019,2.590842112,1.295421056,3.022649131,1.727228075,0.863614037,0,0.431807019,0.863614037,3.022649131,0.863614037,1.727228075,0.431807019,0.431807019,0.431807019,0.431807019,0,2.590842112,0.863614037,0,0,1.295421056,0.431807019,0,0.863614037,0,0,0,0,0.431807019,0,2.159035094,0,0.431807019,0,0.431807019,0,0,0.431807019,0,0,0,0.431807019,0.431807019,0.431807019,0.431807019,0.431807019,0,0.431807019,0,0
Early Postfeeding,7.828536649,4.319192634,2.699495396,2.159596317,1.619697238,1.079798159,0.26994954,0.809848619,1.079798159,2.969444936,0,0.26994954,0.26994954,0,0.539899079,0,0.26994954,0,0.26994954,0.26994954,0.539899079,0,0.26994954,0.26994954,0.809848619,0,1.619697238,0.26994954,0.539899079,0,0.539899079,0,0,1.349747698,0.26994954,0,0,0,0.26994954,0,0,0,0,0,0.539899079,0,0,0.539899079,0,0,0,0.26994954,0,0,0,0,0,0.26994954,0,0.539899079
Early Postfeeding,71.63935774,24.24716724,16.8995408,14.69525287,6.980245113,6.980245113,0,0.367381322,0,0,3.673813218,0.734762644,1.469525287,1.102143965,1.469525287,7.715007757,1.836906609,1.102143965,1.469525287,0.734762644,1.102143965,0,1.469525287,1.836906609,0.367381322,1.836906609,1.102143965,1.102143965,0.734762644,2.571669252,1.102143965,0,0.734762644,0,0,0.367381322,0.734762644,0.367381322,0,0,0.367381322,0.734762644,1.102143965,0,0.367381322,0,0.367381322,0.367381322,0.734762644,0.734762644,0.367381322,0.367381322,0,0.734762644,0.734762644,0,0.734762644,0,0,0.367381322
Early Postfeeding,63.21589628,21.63330877,18.13570795,10.751884,5.440712385,6.217957012,0,0.259081542,0.518163084,3.62714159,2.979437735,2.202193108,1.943111566,1.16586694,0.388622313,0,2.46127465,1.424948482,0.647703855,1.684030024,1.424948482,0.129540771,0.647703855,1.684030024,1.16586694,0.777244626,0.259081542,0.388622313,1.554489253,0.129540771,0.906785398,0.906785398,0.388622313,0.518163084,0,0.906785398,0.518163084,0.518163084,0.259081542,0.129540771,0.129540771,0.259081542,0,0.129540771,0.259081542,0.129540771,0.647703855,0,0,0.259081542,0,0.259081542,0.388622313,0.259081542,0.259081542,0,0.129540771,0,0,0.129540771
Late Postfeeding,17.83199147,4.457997866,2.228998933,0,0,0,0,4.457997866,4.457997866,0,0,0,0,0,2.228998933,0,0,0,0,0,2.228998933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.228998933,0
Late Postfeeding,8.271124756,4.511522594,0,0,0,0,1.503840865,0,0.751920432,1.503840865,0,0,0,0,0,1.503840865,0,0,0,0,0.751920432,0.751920432,0.751920432,0,0.751920432,0,0.751920432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Late Postfeeding,10.96348096,3.654493652,3.654493652,3.654493652,0,0,3.654493652,0,0,3.654493652,0,0,0,0,0,0,3.654493652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.654493652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Early Puparial,0,0,0,0,0,0,1.144429104,1.144429104,0,2.288858207,0,0,0,0,0,0,0,0,0,1.144429104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.144429104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.144429104,0
Early Puparial,1.213646137,0,0,0,0,0,3.64093841,1.213646137,1.213646137,2.427292273,0,0,0,0,0,0,0,0,0,1.213646137,0,0,0,0,1.213646137,1.213646137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Early Puparial,1.438837301,0,0,0,0,0,4.316511904,0.719418651,1.438837301,5.035930555,0,0,0,0,0.719418651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mid Puparial 1,0,0,0,0,0,0,9.880039202,2.195564267,1.097782134,4.391128534,0,0,0,0,2.195564267,1.097782134,0,0,0,0,0,2.195564267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mid Puparial 1,0,0,0,0,0,0,5.440712385,0,1.813570795,1.813570795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.813570795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mid Puparial 1,0,0,0,0,0,0,5.08838415,0,1.272096037,3.180240094,0,0,0,0,1.908144056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.636048019,0,0,0,0,0,0,0,0,0,0,0,0
Mid Puparial 2,0,0,0,0,0,0,11.58240769,0,7.721605128,7.721605128,0,0,0,0,1.930401282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mid Puparial 2,5.803426544,0,0,0,0,0,46.42741235,2.901713272,2.901713272,0,0,0,0,0,5.803426544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mid Puparial 2,0,0,0,0,0,0,49.39490421,19.75796168,0,4.939490421,0,0,0,0,0,98.78980842,0,0,0,4.939490421,0,14.81847126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.939490421,0,0
Late Puparial,0,0,0,0,0,0,16.96105505,6.057519661,31.49910224,1.211503932,0,0,0,0,0,7.269023593,0,0,0,0,0,36.34511797,0,0,1.211503932,0,0,0,0,0,0,0,0,0,1.211503932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Late Puparial,0,0,0,0,0,0,21.87857128,5.469642819,10.93928564,0,0,0,0,0,5.469642819,0,0,0,0,0,0,38.28749973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Late Puparial,0,0,0,0,0,0,5.126617247,5.126617247,10.25323449,5.126617247,0,0,0,0,0,0,0,0,0,0,0,20.50646899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.126617247,0
