DevPer,Dana\miR-8-RA,Dmel\mir-10-RA,Dmel\bft-RA,Dana\miR-276a-RB,Dana\miR-184-RB,Dana\miR-275-RA,Dana\miR-31a-RA,aae.miR.263a.5p,Dana\bantam-RA,Dana\miR-10-RA,Dana\miR-92b-RA,Dmel\mir-33-RA,Dmel\mir-10-RB,ame.miR.317,hme.miR.8,dvi.miR.8.5p,Dmel\mir-14-RA,Dana\miR-9a-RA,aga.miR.11,Dvir\miR-305-RA,aae.miR.305.5p,Dana\miR-9c-RA,Dmel\mir-995-RB,Dana\miR-276b-RB,Dana\miR-277-RA,aae.bantam.3p,Dvir\miR-315a-RA,Dana\miR-11-RA,Dmel\mir-252-RA,Dvir\miR-283-RA,Dper\miR-31b-RA,hme.miR.277,aae.miR.2b,bfl.miR.184.3p,Dvir\mir-375-RB,bfl.miR.9.5p,Dmel\mir-999-RA,Dana\miR-14-RA,Dvir\miR-31b-RA,hme.miR.305,Dmel\mir-375-RA,Dana\let-7-RA,isc.miR.263a,Dana\miR-279-RA,Dana\miR-125-RA,Dmel\mir-190-RA,Dana\miR-316-RA,Dana\miR-281-1-RA,api.miR.275,Dmel\mir-958-RA,aae.miR.276.3p,aae.miR.13.3p,Dmel\mir-996-RA,hme.let.7,cqu.bantam.3p,Dmel\mir-970-RA,dvi.miR.34.3p,Dana\miR-305-RA,Dana\miR-286-RA,Dvir\mir-998-RA,Dmel\mir-998-RA,tca.miR.283.5p,Dvir\mir-996-RA,aga.miR.92a,Dana\miR-281-1-RB,isc.miR.10_,Dana\miR-1-RA,Dmel\mir-283-RA,Dana\miR-2b-RA,Dmel\mir-957-RA,dme.miR.281.1.5p,Dana\miR-9b-RA,Dmel\mir-927-RA,dvi.miR.9b.3p,tur.miR.317.3p,Dana\miR-278-RA,Dmel\mir-988-RA,tur.miR.10.5p,tur.miR.190.5p,Dana\miR-315-RA,Dana\miR-13b-2-RA,der.miR.2a,bma.miR.34,aae.miR.317,dvi.miR.306.5p,mse.miR.317,Dana\miR-100-RA,Dana\miR-31b-RA,dwi.miR.306,dvi.miR.1000.5p,dme.miR.263a.3p,Dmel\mir-981-RA,Dvir\miR-125-RA,dvi.miR.993.3p,mse.miR.2779,cqu.miR.275,aae.miR.252.5p,dvi.miR.996.3p,cel.miR.39.3p,str.miR.34a.5p,lmi.miR.276.5p,dme.miR.34.5p,lmi.miR.8.3p,gma.miR166a.3p,aga.miR.1000,cqu.miR.281.3p,aae.miR.92a.3p,dme.miR.iab.4.5p,dme.miR.124.5p,dya.miR.184.5p,mse.let.7a,dvi.miR.34.5p,dsi.miR.980.3p,dvi.miR.965.3p,dme.miR.956.3p,dme.miR.987.5p,tca.miR.190.5p,dmo.miR.318,dme.miR.996.5p,api.miR.8,api.miR.263a,dvi.miR.125.3p,lva.miR.137.3p,dsi.miR.932.5p,sko.miR.315,tca.miR.252a.5p,api.miR.2a,nvi.miR.283,dme.miR.9a.3p,dps.miR.995.3p,dvi.miR.2a.2.5p,dvi.miR.274,aae.miR.308.3p,dps.miR.927.3p,aga.miR.92b,mse.miR.2b,bmo.miR.279a,dsi.miR.981.3p,bmo.miR.210,atr.miR166b,nvi.miR.31a,sko.miR.252a,pxy.miR.10.3p,dvi.miR.281.2.5p,dpu.miR.31,dvi.miR.282.5p,der.miR.6,aae.miR.31,api.miR.929,dpu.miR.92,dme.miR.274.5p,mse.miR.263b,isc.bantam,dme.miR.965.3p,dme.miR.100.3p,tur.miR.263a.5p,lmi.miR.210.3p,tca.miR.210.3p,ngi.miR.210,hme.miR.190,dvi.miR.929.5p
0.406,9033.783782,2973.960241,854.9666588,1147.006348,372.5553038,654.0187889,397.1193898,592.608574,500.4932516,206.0653878,244.2761882,310.1215853,326.4976427,383.4726754,269.5226099,220.394438,170.5839303,167.1722517,158.6430552,180.4777983,189.3481627,75.05692935,91.43298666,35.82262537,55.95152915,111.5618904,75.05692935,66.18656497,77.78627223,71.30408288,40.59897542,26.95226099,27.29342885,19.44656806,45.37532547,23.54058239,26.95226099,38.21080039,23.19941453,51.51634696,28.99926816,0.682335721,32.41094676,29.34043602,0,21.15240736,37.52846467,37.52846467,17.39956089,24.90525383,12.28204298,15.69372159,19.78773592,0,22.5170788,11.59970726,8.529196517,15.01138587,6.823357213,6.823357213,11.94087512,10.91737154,6.482189353,6.141021492,8.188028656,3.411678607,9.211532238,12.62321084,4.776350049,3.411678607,6.823357213,2.729342885,3.070510746,6.141021492,10.57620368,4.435182189,0.682335721,3.411678607,6.141021492,5.11751791,4.094014328,4.094014328,2.047007164,6.482189353,2.388175025,4.435182189,0,1.705839303,1.705839303,1.705839303,1.705839303,1.023503582,0,1.364671443,1.023503582,4.094014328,1.364671443,2.047007164,0.341167861,0.682335721,2.388175025,1.705839303,1.023503582,0,0.682335721,1.705839303,0.682335721,2.047007164,0.682335721,0.682335721,0,1.023503582,0.341167861,0.682335721,0.341167861,1.364671443,0.341167861,0.682335721,0.341167861,1.364671443,0,0,1.364671443,0,2.047007164,1.023503582,1.023503582,1.705839303,0,1.023503582,0.682335721,0,0.341167861,0,0,0,0.341167861,0.682335721,0,0,0,0.341167861,0.341167861,0,0.341167861,0.682335721,0.341167861,0,0.341167861,0.341167861,0,0,0.341167861,0.682335721,0,0.341167861,0,0,0,1.023503582,0.341167861
0.411,11008.90494,4790.840901,1153.350587,608.1770656,281.5872671,610.7486388,399.8796351,820.3318559,403.7369949,303.4456395,214.7263635,358.7344636,470.5978985,223.7268698,267.4436145,129.8644474,151.7228197,171.0096189,154.294393,144.0081001,186.4390582,90.00506256,83.57612952,38.57359824,52.71725093,95.14820899,72.00405005,77.14719648,56.57461075,83.57612952,7.714719648,23.14415894,29.57309198,16.7152259,34.71623841,21.85837234,38.57359824,28.28730537,19.28679912,45.00253128,29.57309198,0,15.4294393,29.57309198,1.285786608,30.85887859,27.00151877,33.43045181,20.57258573,34.71623841,2.571573216,12.85786608,16.7152259,0,10.28629286,7.714719648,15.4294393,19.28679912,11.57207947,3.857359824,20.57258573,11.57207947,3.857359824,5.143146432,3.857359824,1.285786608,6.42893304,7.714719648,3.857359824,5.143146432,11.57207947,2.571573216,1.285786608,7.714719648,10.28629286,3.857359824,2.571573216,6.42893304,2.571573216,10.28629286,0,3.857359824,2.571573216,3.857359824,2.571573216,0,0,0,1.285786608,1.285786608,0,0,0,1.285786608,0,0,0,6.42893304,0,2.571573216,1.285786608,0,1.285786608,1.285786608,2.571573216,0,1.285786608,0,2.571573216,1.285786608,0,0,1.285786608,0,1.285786608,2.571573216,1.285786608,1.285786608,3.857359824,3.857359824,1.285786608,1.285786608,2.571573216,0,0,0,2.571573216,2.571573216,1.285786608,2.571573216,0,0,1.285786608,0,0,0,1.285786608,0,0,0,0,0,0,0,1.285786608,0,0,0,1.285786608,0,0,0,0,0,0,0,0,0,0,0,0
0.404,10509.63945,5371.815638,911.5314703,692.7194886,309.5208404,728.6327918,459.4681375,714.9339029,457.9871766,352.098468,168.0890688,384.6796091,526.1113807,222.8846243,257.3169666,233.251351,251.0228825,131.0650449,171.421231,146.6151349,233.9918315,55.16579572,75.15876867,14.43936935,32.5811411,106.9994293,49.61219213,52.94435428,56.27651644,67.38372363,23.3251351,12.95840839,29.98945942,18.14177175,25.91681678,21.47393391,23.69537534,33.69186182,17.77153151,45.90978973,30.7299399,0,23.69537534,21.84417414,0.37024024,21.84417414,33.69186182,38.87522517,12.21792791,41.46690685,9.256005994,23.69537534,22.95489486,0.740480479,14.06912911,8.145285274,9.996486473,10.36672671,9.996486473,3.702402397,13.32864863,6.294084076,7.404804795,2.591681678,9.996486473,3.332162158,17.40129127,9.626246233,2.961921918,4.072642637,13.32864863,2.221441438,5.183363356,6.294084076,2.591681678,5.183363356,2.591681678,7.404804795,5.923843836,2.221441438,5.183363356,4.813123117,1.110720719,1.480960959,1.110720719,1.480960959,0,0.740480479,1.480960959,1.110720719,4.072642637,2.961921918,0.37024024,1.851201199,0.37024024,1.851201199,2.221441438,1.851201199,0,1.110720719,2.591681678,1.480960959,2.591681678,0.740480479,1.851201199,1.480960959,0.37024024,4.072642637,1.110720719,0,0,0.37024024,1.110720719,2.591681678,1.110720719,0,2.221441438,1.851201199,0.37024024,0.740480479,0.37024024,0,2.221441438,0,0.37024024,0.740480479,0.37024024,0.740480479,0.37024024,0.37024024,0.37024024,0.37024024,0.740480479,0.740480479,0.37024024,0,0,0,0,0,0,0,1.480960959,0,0.37024024,0.37024024,0,0,0,0.37024024,0,0,0.37024024,1.110720719,0,0.37024024,0,0,0,0,0.37024024
0.751,3221.069462,3440.474964,927.9658533,1242.439268,444.899097,499.4577757,536.2204906,498.9894609,347.2554531,321.7322943,429.4447073,138.6211923,190.6041394,218.7030298,139.557822,104.4342091,117.3128671,134.4063588,85.23330068,122.230173,75.16453165,52.68541938,136.2796181,107.4782555,98.34611617,59.71014196,68.13980906,52.68541938,50.81216002,44.4899097,23.88405678,44.02159486,58.30519745,21.54248259,14.28360259,26.4597884,14.51776001,25.99147356,22.94742711,23.88405678,11.94202839,2.809889034,24.35237162,29.03552001,1.639101936,13.81528775,25.05484388,7.024722584,23.41574195,1.873259356,10.06876904,13.81528775,17.32764904,0.702472258,11.70787097,15.6885471,22.94742711,3.044046453,3.512361292,9.600454198,9.600454198,8.66382452,8.429667101,13.81528775,5.619778067,2.107416775,0.936629678,4.683148389,6.322250325,3.746518711,2.575731614,5.151463228,5.151463228,5.385620648,6.322250325,5.853935487,10.06876904,4.917305809,5.151463228,4.21483355,3.746518711,5.385620648,6.322250325,8.195509681,2.107416775,7.024722584,0.468314839,1.873259356,0.702472258,3.512361292,3.278203872,0.936629678,0.234157419,0.936629678,0.234157419,2.107416775,0.936629678,0.702472258,0.936629678,3.980676131,0.702472258,3.278203872,0.468314839,0.468314839,1.873259356,1.404944517,1.639101936,1.170787097,2.575731614,1.404944517,0,3.512361292,0.468314839,2.809889034,0.234157419,0.234157419,1.404944517,0,0.702472258,0,0.234157419,0,1.873259356,1.404944517,0.936629678,1.873259356,0.234157419,0.702472258,0.234157419,1.170787097,0.468314839,0,0,0.234157419,0.936629678,0.702472258,0.702472258,0.468314839,0.234157419,0,0.468314839,0.234157419,0.468314839,0,0,0.234157419,0,0,0,0.468314839,0,0,0,0,0,0,0,0,0,0,0
0.74,3638.979009,2800.463764,1164.768535,1484.378658,518.9051203,710.0806909,450.9971956,502.6662687,307.0619204,301.8950131,395.6374744,134.3395902,207.4144222,397.8518632,116.6244794,138.7683679,126.2201644,80.45612818,106.2906648,118.8388682,111.4575721,35.43022158,119.5769978,131.3870717,99.64749821,52.40720276,45.0259066,67.16979509,69.38418394,34.69209197,37.64461043,42.07338813,67.9079247,26.57266619,22.88201811,23.62014772,4.428777698,26.57266619,20.66762926,33.95396235,12.54820348,1.476259233,23.62014772,17.71511079,0,26.57266619,28.78705504,7.381296164,21.40575887,2.214388849,16.97698118,23.62014772,14.02446271,2.214388849,11.07194425,13.28633309,28.04892542,0,3.690648082,16.23885156,8.11942578,5.166907314,9.595685013,16.97698118,5.905036931,0.738129616,2.214388849,7.381296164,11.81007386,0.738129616,1.476259233,6.643166547,3.690648082,2.214388849,14.02446271,10.33381463,8.11942578,3.690648082,7.381296164,4.428777698,8.11942578,5.905036931,11.07194425,10.33381463,0.738129616,11.81007386,0.738129616,4.428777698,2.952518465,2.214388849,2.214388849,2.952518465,0,7.381296164,1.476259233,0.738129616,1.476259233,1.476259233,0,7.381296164,0,5.905036931,0,14.76259233,0.738129616,0.738129616,5.905036931,0,2.214388849,2.952518465,0,5.905036931,0.738129616,0.738129616,0,0,1.476259233,1.476259233,0.738129616,1.476259233,0.738129616,0,0,0,0,2.214388849,2.214388849,0,0.738129616,0,0,0,0,0,0.738129616,0.738129616,0,2.214388849,0,5.166907314,0.738129616,0.738129616,2.214388849,0,0.738129616,0,0,0,0,0.738129616,0,0,0,0.738129616,0,0,0,0,0,0,0
0.74,1945.744689,3466.638702,3666.568431,1225.759651,1895.762256,1176.967276,1306.683589,1927.89382,132.0964284,396.2892852,378.4384165,70.21341689,141.6168917,59.50289567,73.78359063,233.251351,128.5262547,52.36254819,159.4677604,27.37133201,49.98243237,27.37133201,80.92393812,57.12277985,53.55260611,28.56138992,36.89179532,59.50289567,141.6168917,27.37133201,28.56138992,36.89179532,23.80115827,122.5759651,28.56138992,32.13156366,5.950289567,33.32162158,30.94150575,7.140347481,21.42104244,1.190057913,24.99121618,14.28069496,4.760231654,17.8508687,22.61110036,2.380115827,23.80115827,1.190057913,15.47075288,15.47075288,2.380115827,0,4.760231654,16.66081079,52.36254819,9.520463308,3.57017374,2.380115827,9.520463308,3.57017374,4.760231654,8.330405394,2.380115827,0,1.190057913,1.190057913,7.140347481,3.57017374,1.190057913,4.760231654,7.140347481,1.190057913,8.330405394,1.190057913,13.09063705,14.28069496,5.950289567,2.380115827,4.760231654,3.57017374,14.28069496,5.950289567,2.380115827,3.57017374,0,4.760231654,2.380115827,8.330405394,0,1.190057913,1.190057913,2.380115827,2.380115827,3.57017374,1.190057913,0,0,2.380115827,3.57017374,5.950289567,0,0,5.950289567,0,4.760231654,1.190057913,1.190057913,3.57017374,0,1.190057913,0,0,0,0,2.380115827,1.190057913,0,0,1.190057913,0,0,1.190057913,0,3.57017374,1.190057913,0,1.190057913,0,1.190057913,0,0,1.190057913,0,1.190057913,1.190057913,0,0,0,0,0,0,0,1.190057913,0,0,0,0,0,0,2.380115827,0,0,0,0,0,0,0,0,0
0.411,10224.14737,4820.848034,967.1632699,689.067722,213.4954489,719.7921593,330.8785555,933.5502103,394.6908484,290.7004452,306.4565669,427.5161019,412.5477863,256.5621816,247.8963146,148.3701459,177.5189711,190.6490725,207.1930003,187.4978481,266.2784566,101.6269849,100.0513727,25.73499876,23.63418254,88.75948553,82.98224091,62.49928271,26.26020282,70.63994559,3.939030423,17.06913183,34.40086569,14.18050952,44.37974277,26.78540688,32.5626515,29.14882513,14.96831561,63.02448677,36.76428395,0,45.16754885,28.8862231,0.525204056,25.47239674,22.84637645,51.2073955,19.95775414,27.83581499,9.716275043,13.39270344,18.644744,0,10.76668316,11.55448924,6.302448677,14.44311155,8.403264902,2.626020282,17.33173386,14.18050952,2.363418254,6.565050705,11.02928518,4.464234479,3.939030423,11.29188721,6.827652733,4.989438536,18.90734603,2.363418254,3.413826367,7.35285679,6.302448677,7.35285679,2.626020282,4.201632451,9.191070987,5.77724462,3.939030423,4.201632451,2.100816226,4.201632451,3.413826367,1.838214197,0,1.575612169,3.939030423,1.838214197,3.413826367,1.313010141,0,1.050408113,0.262602028,4.464234479,1.838214197,1.313010141,0.787806085,0.787806085,1.575612169,1.313010141,2.100816226,0.262602028,0.525204056,0.787806085,0.787806085,3.413826367,1.838214197,0,0.262602028,0.525204056,0.787806085,1.575612169,0.787806085,1.575612169,1.313010141,2.363418254,0.787806085,0.787806085,0.262602028,0,2.100816226,0.262602028,0.787806085,0.262602028,0.787806085,0.787806085,0.787806085,0.262602028,0.262602028,0,1.313010141,0.525204056,0,0,0.262602028,0.787806085,0,0.262602028,0.262602028,0.262602028,0,0.262602028,0,0.262602028,0,0.262602028,1.050408113,0.525204056,0,0,0.262602028,0,0,0.525204056,0,0,0,0.262602028,0.525204056
